"","Year","day-month","excess_deaths","region","date","avg_max_temp","month","deaths_delta","cumdelta_deaths","temp_pctdelta","cumpctdelta_temp","time","id","id2","Intercept_1","Intercept_2","Intercept_3","Intercept_4","Intercept_5","Intercept_6","Intercept_7","Intercept_8","Intercept_9"
"65",2018,"08-Jun",0,"East Midlands",2018-06-08,15.7888888888889,6,0,0,-4.63087248322149,3.08149238891334,8,4,65,NA,NA,NA,1,NA,NA,NA,NA,NA
"66",2018,"08-Jun",0,"London",2018-06-08,20.15,6,0,0,2.71877655055226,20.6402026857726,8,7,66,NA,NA,NA,NA,NA,NA,1,NA,NA
"67",2018,"08-Jun",0,"North East",2018-06-08,16.4416666666667,6,7,0,7.18166014776184,0.948468522726489,8,1,67,1,NA,NA,NA,NA,NA,NA,NA,NA
"68",2018,"08-Jun",2,"North West",2018-06-08,19.5833333333333,6,28,2,0.470286447199649,11.6748799707679,8,2,68,NA,1,NA,NA,NA,NA,NA,NA,NA
"69",2018,"08-Jun",0,"South East",2018-06-08,18.9529411764706,6,0,0,0.0776518092871608,20.0975637032631,8,8,69,NA,NA,NA,NA,NA,NA,NA,1,NA
"70",2018,"08-Jun",0,"South West",2018-06-08,17.3055555555556,6,0,0,-2.9897228277795,11.4974225910732,8,9,70,NA,NA,NA,NA,NA,NA,NA,NA,1
"71",2018,"08-Jun",0,"West Midlands",2018-06-08,16.53,6,20,0,-1.9863622887637,1.35289011375237,8,5,71,NA,NA,NA,NA,1,NA,NA,NA,NA
"72",2018,"08-Jun",5,"Yorkshire And The Humber",2018-06-08,14.375,6,16,5,-10.1281650515786,-8.11044290474719,8,3,72,NA,NA,1,NA,NA,NA,NA,NA,NA
"73",2018,"09-Jun",0,"East",2018-06-09,16.6678571428571,6,0,0,-5.70837995772721,5.31063710769663,9,6,73,NA,NA,NA,NA,NA,1,NA,NA,NA
"74",2018,"09-Jun",0,"East Midlands",2018-06-09,15.3333333333333,6,20,0,-2.88529204785361,0.19620034105973,9,4,74,NA,NA,NA,1,NA,NA,NA,NA,NA
"75",2018,"09-Jun",5,"London",2018-06-09,19.6,6,16,5,-2.72952853598015,17.9106741497924,9,7,75,NA,NA,NA,NA,NA,NA,1,NA,NA
